"","Parcel","Year","Tran_Name","x","y","ACHY","ALOC2","ARTR2","ASFA","ATCA2","ATCO","ATPA3","ATPO","ATTO","BOMA7","CALI4","DISP","EPCI","EPNE","ERNA10","EUOC4","HECU3","HOJU","IVAX","JUARL","JUTO","KRLA2","LETR5","MACA17","MALE3","MUAS","POFR2","PSARM","PSPO","SAEX","SALA3","SALA6","SAVE4","SPAI","SUMO","TEAX","TEGL","TYLA"
"93","LAW104",2023,"7",380490,4140990,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0
"94","LAW104",2023,"8",380430,4140900,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0
"95","LAW104",2023,"9",380520,4141470,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"96","LAW119",2023,"1",382380,4138770,0,0,0,0,0,0,0,0,5,0,0,7,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
"97","LAW119",2023,"10",381690,4139250,0,0,0,0,0,2,0,0,12,0,0,2,0,0,7,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,1
"98","LAW119",2023,"11",381510,4139160,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"99","LAW119",2023,"12",381240,4139490,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,2,22,0,0,0,0
"100","LAW119",2023,"13",382500,4138560,0,0,0,0,0,0,0,0,7,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0
"101","LAW119",2023,"14",382500,4138530,0,0,0,0,0,0,0,0,4,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0
"102","LAW119",2023,"15",381420,4139400,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,0,20,9,0,0,3,0,1,0,0,0,0,0,1
"103","LAW119",2023,"16",382290,4138860,0,0,0,0,0,0,0,0,10,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"104","LAW119",2023,"17",381960,4139070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"105","LAW119",2023,"18",381990,4138980,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0
"106","LAW119",2023,"19",381660,4139070,0,0,0,0,0,0,0,0,8,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"107","LAW119",2023,"2",381420,4139520,0,0,0,0,0,0,0,0,5,0,0,28,0,0,3,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
"108","LAW119",2023,"20",382530,4138530,0,0,0,0,0,0,0,0,3,0,0,5,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0
"109","LAW119",2023,"22",381930,4139070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"110","LAW119",2023,"23",382080,4139040,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"111","LAW119",2023,"24",381420,4139550,0,0,0,0,0,0,0,0,6,0,0,10,0,0,0,0,0,1,2,0,0,0,0,0,0,19,0,0,0,2,0,0,0,1,0,0,0,9
"112","LAW119",2023,"25",381600,4139250,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4
"113","LAW119",2023,"26",381870,4139040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"114","LAW119",2023,"27",381720,4139130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"115","LAW119",2023,"28",381900,4139010,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"116","LAW119",2023,"29",381960,4139040,0,0,0,0,0,0,0,0,5,0,0,0,0,0,10,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"117","LAW119",2023,"3",381390,4139610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
"118","LAW119",2023,"30",381450,4139160,0,0,0,0,0,0,0,0,5,0,0,9,0,0,5,0,0,0,1,0,0,0,0,0,0,4,24,0,0,0,0,0,0,0,0,0,0,0
"119","LAW119",2023,"31",381510,4139400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,8,23,0,0,0,0,0,0,0,0,0,0,0
"120","LAW119",2023,"32",382260,4138710,0,0,0,0,0,0,0,0,0,0,0,6,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
"121","LAW119",2023,"33",381330,4139250,0,0,0,0,0,0,0,0,0,0,0,5,20,0,2,3,0,0,0,0,0,0,0,0,0,9,16,0,0,3,0,0,0,0,0,0,0,5
"122","LAW119",2023,"34",381510,4139310,0,0,0,0,0,0,0,0,9,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"123","LAW119",2023,"35",381540,4139130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,17,6,0,0,0,0,0,0,0,0,0,0,0
"124","LAW119",2023,"36",382230,4138830,0,0,0,0,0,0,0,0,27,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"125","LAW119",2023,"37",381510,4139370,0,0,0,0,0,0,0,0,10,0,0,4,0,0,25,0,0,0,0,0,0,0,2,0,0,11,3,0,0,0,0,0,0,0,0,0,0,0
"126","LAW119",2023,"39",381390,4139490,0,0,0,1,0,0,0,0,3,0,0,8,3,0,0,0,0,0,1,0,0,0,1,0,0,9,0,0,0,0,0,0,0,3,0,0,0,0
"127","LAW119",2023,"4",381750,4139190,0,0,0,0,0,0,0,0,4,0,0,4,0,0,11,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1
"128","LAW119",2023,"40",381570,4139280,0,0,0,0,0,0,0,0,9,0,0,12,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"129","LAW119",2023,"41",382500,4138800,0,0,0,0,0,0,0,0,2,0,0,1,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
